"Plot11"
"Time (sec)","Acceleration1 (mm/sec**2)"
3.09999999999999,1010.59405171122
3.11666666666666,999.967795340287
3.13333333333333,984.942980124678
3.14999999999999,964.422114127019
3.16666666666666,937.238667527849
3.18333333333333,902.199434348067
3.19999999999999,858.136157417068
3.21666666666666,803.965217880064
3.23333333333333,738.752940874933
3.24999999999999,661.782827407839
3.26666666666666,572.620003316473
3.28333333333333,471.16760490498
3.29999999999999,357.70988310648
3.31666666666666,232.937568869939
3.33333333333333,97.9525515906744
3.34999999999999,-45.7492728283974
3.36666666666666,-196.315866987875
3.38333333333333,-351.594687692465
3.39999999999999,-509.201605077125
3.41666666666666,-666.597814090284
3.43333333333333,-821.169343784349
3.44999999999999,-970.304311208195
3.46666666666666,-1111.46406450416
3.48333333333333,-1242.24560594389
3.49999999999999,-1360.43393980875
3.51666666666666,-1464.04410564248
3.53333333333333,-1551.35351428593
3.54999999999999,-1620.92576731409
3.56666666666666,-1671.6274177115
3.58333333333333,-1702.6391619427
3.59999999999999,-1713.46279581337
3.61666666666666,-1703.92497401876
3.63333333333333,-1674.17843435084
3.64999999999999,-1624.70092129939
3.66666666666666,-1556.29160209193
3.68333333333333,-1470.06434011592
3.69999999999999,-1367.43680768442
3.71666666666666,-1250.11412080725
3.73333333333332,-1120.06551075709
3.74999999999999,-979.492565836047
3.76666666666666,-830.78783703645
3.78333333333332,-676.483145556851
3.79999999999999,-519.187770344818
3.81666666666666,-361.517790778119
3.83333333333332,-206.019119250584
3.84999999999999,-55.087998343805
3.86666666666666,89.106231775853
3.88333333333332,224.690719325982
3.89999999999999,350.145727078861
3.91666666666666,464.34369889716
3.93333333333332,566.567832964129
3.94999999999999,656.508714645403
3.96666666666666,734.24021927113
3.98333333333332,800.177403655533
3.99999999999999,855.020810291158
4.01666666666666,899.692368982249
4.03333333333332,935.268192743289
4.04999999999999,962.913028723298
4.06666666666666,983.820127568146
4.08333333333332,999.159060402367
4.09999999999999,1010.03275790485
4.11666666666666,1017.44394054273
4.13333333333332,1022.27025797608
4.14999999999999,1025.24690012083
4.16666666666666,1026.95517309347
4.18333333333332,1027.81550926629
4.19999999999999,1028.08354730561
4.21666666666666,1027.84821745034
4.23333333333332,1027.0311622389
4.24999999999999,1025.38724434443
4.26666666666666,1022.5063614971
4.28333333333332,1017.81721179366
4.29999999999999,1010.59405171122
4.31666666666666,999.967795340291
4.33333333333332,984.942980124684
4.34999999999999,964.422114127025
4.36666666666666,937.238667527857
4.38333333333332,902.199434348078
4.39999999999999,858.136157417082
4.41666666666666,803.965217880081
4.43333333333332,738.75294087495
4.44999999999999,661.782827407866
4.46666666666666,572.620003316497
4.48333333333332,471.167604905013
4.49999999999999,357.709886802883
4.51666666666666,232.937568869972
4.53333333333332,97.9525515907105
4.54999999999999,-45.7492728283615
4.56666666666666,-196.31586698784
4.58333333333332,-351.594687692428
4.59999999999999,-509.201605077087
4.61666666666666,-666.597814090248
4.63333333333332,-821.169343784319
4.64999999999999,-970.304311208165
4.66666666666666,-1111.46406450413
4.68333333333332,-1242.24560594387
4.69999999999999,-1360.43393980873
4.71666666666666,-1464.04410564246
4.73333333333332,-1551.35351428591
4.74999999999999,-1620.92576731408
4.76666666666666,-1671.6274177115
4.78333333333332,-1702.63916194269
4.79999999999999,-1713.46279581337
4.81666666666665,-1703.92497401876
4.83333333333332,-1674.17843435085
4.84999999999999,-1624.7009212994
4.86666666666665,-1556.29160209194
4.88333333333332,-1470.06434011593
4.89999999999999,-1367.43680768444
4.91666666666665,-1250.11412080727
4.93333333333332,-1120.0655107571
4.94999999999999,-979.492565836067
4.96666666666665,-830.787837036466
4.98333333333332,-676.483145556873
4.99999999999999,-519.187770344844
5.01666666666665,-361.517790778139
5.03333333333332,-206.019119250597
5.04999999999999,-55.0879983438257
5.06666666666665,89.1062317758436
5.08333333333332,224.690719325966
5.09999999999999,350.145708732621
5.11666666666665,464.343698897152
5.13333333333332,566.567832964122
5.14999999999999,656.508714645393
5.16666666666665,734.240219271123
5.18333333333332,800.177403655529
5.19999999999999,855.020810291157
5.21666666666665,899.692368982246
5.23333333333332,935.268192743285
5.24999999999999,962.913028723296
5.26666666666665,983.820127568145
5.28333333333332,999.159060402363
5.29999999999999,1010.03275790485
5.31666666666665,1017.44394054273
5.33333333333332,1022.27025797608
5.34999999999999,1025.24690012083
5.36666666666665,1026.95517309347
5.38333333333332,1027.81550926629
5.39999999999999,1028.08354738978
5.41666666666665,1027.84821745034
5.43333333333332,1027.0311622389
5.44999999999999,1025.38724434443
5.46666666666665,1022.5063614971
5.48333333333332,1017.81721179366
5.49999999999999,1010.59405171122
5.51666666666665,999.967795340293
5.53333333333332,984.942980124685
5.54999999999999,964.422114127027
5.56666666666665,937.238667527861
5.58333333333332,902.199434348083
5.59999999999999,858.136157417088
5.61666666666665,803.965217880089
5.63333333333332,738.752940874957
5.64999999999999,661.782827407869
5.66666666666665,572.620003316505
5.68333333333332,471.167604905022
5.69999999999999,357.709886000892
5.71666666666665,232.937568869984
5.73333333333332,97.9525515907215
5.74999999999998,-45.7492728283507
5.76666666666665,-196.31586698783
5.78333333333332,-351.594687692416
5.79999999999998,-509.201605077072
5.81666666666665,-666.59781409024
5.83333333333332,-821.169343784304
5.84999999999998,-970.304311208153
5.86666666666665,-1111.46406450412
5.88333333333332,-1242.24560594386
5.89999999999998,-1360.43393980872
5.91666666666665,-1464.04410564245
5.93333333333332,-1551.35351428591
5.94999999999998,-1620.92576731407
5.96666666666665,-1671.62741771149
5.98333333333332,-1702.63916194269
5.99999999999998,-1713.46279581337
6.01666666666665,-1703.92497401876
6.03333333333332,-1674.17843435085
6.04999999999998,-1624.70092129941
6.06666666666665,-1556.29160209195
6.08333333333332,-1470.06434011594
6.09999999999998,-1367.43680768445
6.11666666666665,-1250.11412080729
6.13333333333332,-1120.06551075712
6.14999999999998,-979.492565836084
6.16666666666665,-830.787837036492
6.18333333333332,-676.483145556885
6.19999999999998,-519.187770344859
6.21666666666665,-361.51779077816
6.23333333333332,-206.019119250609
6.24999999999998,-55.0879983438389
6.26666666666665,89.1062317758232
6.28333333333332,224.690719325959
6.29999999999998,350.145741240843
6.31666666666665,464.343698897143
6.33333333333332,566.567832964118
6.34999999999998,656.50871464539
6.36666666666665,734.240219271119
6.38333333333332,800.177403655528
6.39999999999998,855.020810291157
6.41666666666665,899.692368982244
6.43333333333332,935.268192743286
6.44999999999998,962.913028723296
6.46666666666665,983.820127568143
6.48333333333332,999.159060402365
6.49999999999998,1010.03275790486
6.51666666666665,1017.44394054273
6.53333333333332,1022.27025797608
6.54999999999998,1025.24690012083
6.56666666666665,1026.95517309347
6.58333333333332,1027.81550926629
6.59999999999998,1028.08354752555
6.61666666666665,1027.84821745034
6.63333333333332,1027.0311622389
6.64999999999998,1025.38724434443
6.66666666666665,1022.5063614971
6.68333333333331,1017.81721179366
6.69999999999998,1010.59405171122
6.71666666666665,999.967795340292
6.73333333333331,984.942980124682
6.74999999999998,964.422114127024
6.76666666666665,937.238667527858
