"Plot10"
"Time (sec)","Angular Displacement5 (deg)"
3.09999999999999,-150.158083572797
3.11666666666666,-145.158083572797
3.13333333333333,-140.158083572797
3.14999999999999,-135.158083572798
3.16666666666666,-130.158083572797
3.18333333333333,-125.158083572798
3.19999999999999,-120.158083572797
3.21666666666666,-115.158083572798
3.23333333333333,-110.158083572798
3.24999999999999,-105.158083572798
3.26666666666666,-100.158083572798
3.28333333333333,-95.1580835727976
3.29999999999999,-90.1580835727977
3.31666666666666,-85.1580835727978
3.33333333333333,-80.1580835727977
3.34999999999999,-75.1580835727978
3.36666666666666,-70.1580835727979
3.38333333333333,-65.1580835727979
3.39999999999999,-60.158083572798
3.41666666666666,-55.1580835727979
3.43333333333333,-50.158083572798
3.44999999999999,-45.1580835727981
3.46666666666666,-40.158083572798
3.48333333333333,-35.1580835727981
3.49999999999999,-30.158083572798
3.51666666666666,-25.1580835727981
3.53333333333333,-20.1580835727982
3.54999999999999,-15.1580835727981
3.56666666666666,-10.1580835727982
3.58333333333333,-5.15808357279814
3.59999999999999,-0.158083572798249
3.61666666666666,4.84191642720164
3.63333333333333,9.84191642720174
3.64999999999999,14.8419164272016
3.66666666666666,19.8419164272017
3.68333333333333,24.8419164272016
3.69999999999999,29.8419164272015
3.71666666666666,34.8419164272016
3.73333333333332,39.8419164272015
3.74999999999999,44.8419164272014
3.76666666666666,49.8419164272015
3.78333333333332,54.8419164272014
3.79999999999999,59.8419164272015
3.81666666666666,64.8419164272014
3.83333333333332,69.8419164272013
3.84999999999999,74.8419164272014
3.86666666666666,79.8419164272012
3.88333333333332,84.8419164272013
3.89999999999999,89.8419164272012
3.91666666666666,94.8419164272011
3.93333333333332,99.8419164272012
3.94999999999999,104.841916427201
3.96666666666666,109.841916427201
3.98333333333332,114.841916427201
3.99999999999999,119.841916427201
4.01666666666666,124.841916427201
4.03333333333332,129.841916427201
4.04999999999999,134.841916427201
4.06666666666666,139.841916427201
4.08333333333332,144.841916427201
4.09999999999999,149.841916427201
4.11666666666666,154.841916427201
4.13333333333332,159.841916427201
4.14999999999999,164.841916427201
4.16666666666666,169.841916427201
4.18333333333332,174.841916427201
4.19999999999999,179.841916427201
4.21666666666666,-175.158083572799
4.23333333333332,-170.158083572799
4.24999999999999,-165.158083572799
4.26666666666666,-160.158083572799
4.28333333333332,-155.158083572799
4.29999999999999,-150.158083572799
4.31666666666666,-145.158083572799
4.33333333333332,-140.158083572799
4.34999999999999,-135.158083572799
4.36666666666666,-130.158083572799
4.38333333333332,-125.158083572799
4.39999999999999,-120.158083572799
4.41666666666666,-115.158083572799
4.43333333333332,-110.158083572799
4.44999999999999,-105.158083572799
4.46666666666666,-100.158083572799
4.48333333333332,-95.1580835727991
4.49999999999999,-90.1580835727992
4.51666666666666,-85.1580835727991
4.53333333333332,-80.158083572799
4.54999999999999,-75.1580835727991
4.56666666666666,-70.158083572799
4.58333333333332,-65.1580835727991
4.59999999999999,-60.1580835727992
4.61666666666666,-55.1580835727991
4.63333333333332,-50.158083572799
4.64999999999999,-45.1580835727991
4.66666666666666,-40.158083572799
4.68333333333332,-35.1580835727991
4.69999999999999,-30.1580835727992
4.71666666666666,-25.1580835727991
4.73333333333332,-20.1580835727991
4.74999999999999,-15.1580835727992
4.76666666666666,-10.1580835727991
4.78333333333332,-5.15808357279917
4.79999999999999,-0.158083572799281
4.81666666666665,4.84191642720081
4.83333333333332,9.84191642720091
4.84999999999999,14.8419164272008
4.86666666666665,19.8419164272009
4.88333333333332,24.8419164272008
4.89999999999999,29.8419164272007
4.91666666666665,34.8419164272008
4.93333333333332,39.8419164272009
4.94999999999999,44.8419164272008
4.96666666666665,49.8419164272009
4.98333333333332,54.8419164272008
4.99999999999999,59.8419164272006
5.01666666666665,64.8419164272007
5.03333333333332,69.8419164272008
5.04999999999999,74.8419164272007
5.06666666666665,79.8419164272008
5.08333333333332,84.8419164272007
5.09999999999999,89.8419164272006
5.11666666666665,94.8419164272007
5.13333333333332,99.8419164272008
5.14999999999999,104.841916427201
5.16666666666665,109.841916427201
5.18333333333332,114.841916427201
5.19999999999999,119.841916427201
5.21666666666665,124.841916427201
5.23333333333332,129.841916427201
5.24999999999999,134.841916427201
5.26666666666665,139.841916427201
5.28333333333332,144.841916427201
5.29999999999999,149.841916427201
5.31666666666665,154.841916427201
5.33333333333332,159.841916427201
5.34999999999999,164.841916427201
5.36666666666665,169.841916427201
5.38333333333332,174.841916427201
5.39999999999999,179.8419164272
5.41666666666665,-175.158083572799
5.43333333333332,-170.158083572799
5.44999999999999,-165.158083572799
5.46666666666665,-160.158083572799
5.48333333333332,-155.158083572799
5.49999999999999,-150.1580835728
5.51666666666665,-145.158083572799
5.53333333333332,-140.158083572799
5.54999999999999,-135.158083572799
5.56666666666665,-130.158083572799
5.58333333333332,-125.158083572799
5.59999999999999,-120.1580835728
5.61666666666665,-115.158083572799
5.63333333333332,-110.158083572799
5.64999999999999,-105.158083572799
5.66666666666665,-100.158083572799
5.68333333333332,-95.1580835727995
5.69999999999999,-90.1580835727996
5.71666666666665,-85.1580835727995
5.73333333333332,-80.1580835727994
5.74999999999998,-75.1580835727995
5.76666666666665,-70.1580835727994
5.78333333333332,-65.1580835727995
5.79999999999998,-60.1580835727996
5.81666666666665,-55.1580835727993
5.83333333333332,-50.1580835727994
5.84999999999998,-45.1580835727995
5.86666666666665,-40.1580835727992
5.88333333333332,-35.1580835727994
5.89999999999998,-30.1580835727995
5.91666666666665,-25.1580835727996
5.93333333333332,-20.1580835727993
5.94999999999998,-15.1580835727994
5.96666666666665,-10.1580835727995
5.98333333333332,-5.15808357279959
5.99999999999998,-0.158083572799702
6.01666666666665,4.8419164272006
6.03333333333332,9.84191642720049
6.04999999999998,14.8419164272004
6.06666666666665,19.8419164272007
6.08333333333332,24.8419164272006
6.09999999999998,29.8419164272005
6.11666666666665,34.8419164271999
6.13333333333332,39.8419164272002
6.14999999999998,44.8419164272001
6.16666666666665,49.8419164272
6.18333333333332,54.8419164272003
6.19999999999998,59.8419164272002
6.21666666666665,64.8419164272001
6.23333333333332,69.8419164272004
6.24999999999998,74.8419164272003
6.26666666666665,79.8419164272002
6.28333333333332,84.8419164272005
6.29999999999998,89.8419164272004
6.31666666666665,94.8419164272003
6.33333333333332,99.8419164272006
6.34999999999998,104.8419164272
6.36666666666665,109.8419164272
6.38333333333332,114.841916427201
6.39999999999998,119.841916427201
6.41666666666665,124.8419164272
6.43333333333332,129.841916427201
6.44999999999998,134.841916427201
6.46666666666665,139.841916427201
6.48333333333332,144.841916427201
6.49999999999998,149.841916427201
6.51666666666665,154.841916427201
6.53333333333332,159.841916427201
6.54999999999998,164.841916427201
6.56666666666665,169.841916427201
6.58333333333332,174.841916427201
6.59999999999998,179.841916427201
6.61666666666665,-175.158083572799
6.63333333333332,-170.158083572799
6.64999999999998,-165.158083572799
6.66666666666665,-160.158083572799
6.68333333333331,-155.158083572799
6.69999999999998,-150.158083572799
6.71666666666665,-145.158083572799
6.73333333333331,-140.158083572799
6.74999999999998,-135.158083572799
6.76666666666665,-130.158083572799
6.78333333333331,-125.158083572799
6.79999999999998,-120.158083572799
6.81666666666665,-115.158083572799
6.83333333333331,-110.158083572799
6.84999999999998,-105.158083572799
6.86666666666665,-100.158083572799
6.88333333333331,-95.1580835727985
6.89999999999998,-90.1580835727986
6.91666666666665,-85.1580835727987
6.93333333333331,-80.1580835727984
6.94999999999998,-75.1580835727985
6.96666666666665,-70.1580835727986
6.98333333333331,-65.1580835727983
6.99999999999998,-60.1580835727984
7.01666666666665,-55.1580835727985
7.03333333333331,-50.1580835727982
7.04999999999998,-45.1580835727983
7.06666666666665,-40.1580835727984
7.08333333333331,-35.1580835727981
7.09999999999998,-30.1580835727982
7.11666666666665,-25.1580835727984
7.13333333333331,-20.1580835727981
7.14999999999998,-15.1580835727982
7.16666666666665,-10.1580835727983
7.18333333333331,-5.15808357279798
7.19999999999998,-0.158083572798087
7.21666666666665,4.8419164272018
7.23333333333331,9.8419164272021
7.24999999999998,14.841916427202
7.26666666666665,19.8419164272019
7.28333333333331,24.8419164272022
7.29999999999998,29.8419164272021
7.31666666666665,34.841916427202
7.33333333333331,39.8419164272023
7.34999999999998,44.8419164272022
7.36666666666665,49.8419164272021
7.38333333333331,54.8419164272024
7.39999999999998,59.8419164272023
