"Plot15"
"Time (sec)","Linear Displacement2 (mm)"
3.29999999999999,532.508796425885
3.31666666666666,536.927363653489
3.33333333333333,541.403810163215
3.34999999999999,545.900203744537
3.36666666666666,550.376285180312
3.38333333333333,554.789997741737
3.39999999999999,559.098096633916
3.41666666666666,563.256818858084
3.43333333333333,567.222591999584
3.44999999999999,570.952760050713
3.46666666666666,574.406304972766
3.48333333333333,577.544544890146
3.49999999999999,580.331791944067
3.51666666666666,582.735955845156
3.53333333333333,584.729081928885
3.54999999999999,586.287815158514
3.56666666666666,587.393783810933
3.58333333333333,588.033898465616
3.59999999999999,588.20056339656
3.61666666666666,587.89179859179
3.63333333333333,587.111271480411
3.64999999999999,585.868238140581
3.66666666666666,584.177394412449
3.68333333333333,582.05863806982
3.69999999999999,579.536744129777
3.71666666666666,576.64095660274
3.73333333333332,573.404501583005
3.74999999999999,569.864028588677
3.76666666666666,566.058989462683
3.78333333333332,562.030966856374
3.79999999999999,557.822967177203
3.81666666666666,553.478695558902
3.83333333333332,549.041832949018
3.84999999999999,544.555336606821
3.86666666666666,540.060786134091
3.88333333333332,535.597796027269
3.89999999999999,531.203513423191
3.91666666666666,526.912215867518
3.93333333333332,522.75501891593
3.94999999999999,518.759697597779
3.96666666666666,514.950619773743
3.98333333333332,511.348783779702
3.99999999999999,507.971947985189
4.01666666666666,504.834836384694
4.03333333333332,501.949402275542
4.04999999999999,499.325131453648
4.06666666666666,496.969367006155
4.08333333333332,494.887639409504
4.09999999999999,493.083987909587
4.11666666666666,491.561261727102
4.13333333333332,490.321392202201
4.14999999999999,489.36562934689
4.16666666666666,488.694738271588
4.18333333333332,488.309152531218
4.19999999999999,488.209087123873
4.21666666666666,488.394578476744
4.23333333333332,488.86554597091
4.24999999999999,489.621716530162
4.26666666666666,490.662570845807
4.28333333333332,491.987216820069
4.29999999999999,493.594223099188
4.31666666666666,495.481410269789
4.33333333333332,497.645603100656
4.34999999999999,500.082348918734
4.36666666666666,502.785609322648
4.38333333333332,505.747434874527
4.39999999999999,508.957635007398
4.41666666666666,512.403457896123
4.43333333333332,516.069297153786
4.44999999999999,519.936443585899
4.46666666666666,523.982900528663
4.48333333333332,528.183280254884
4.49999999999999,532.508796425884
4.51666666666666,536.927363653488
4.53333333333332,541.403810163214
4.54999999999999,545.900203744536
4.56666666666666,550.376285180311
4.58333333333332,554.789997741735
4.59999999999999,559.098096633915
4.61666666666666,563.256818858083
4.63333333333332,567.222591999583
4.64999999999999,570.952760050712
4.66666666666666,574.406304972765
4.68333333333332,577.544544890146
4.69999999999999,580.331791944066
4.71666666666666,582.735955845156
4.73333333333332,584.729081928884
4.74999999999999,586.287815158513
4.76666666666666,587.393783810932
4.78333333333332,588.033898465616
4.79999999999999,588.20056339656
4.81666666666665,587.89179859179
4.83333333333332,587.111271480412
4.84999999999999,585.868238140581
4.86666666666665,584.177394412449
4.88333333333332,582.058638069821
4.89999999999999,579.536744129777
4.91666666666665,576.64095660274
4.93333333333332,573.404501583006
4.94999999999999,569.864028588678
4.96666666666665,566.058989462684
4.98333333333332,562.030966856375
4.99999999999999,557.822967177204
5.01666666666665,553.478695558902
5.03333333333332,549.041832949019
5.04999999999999,544.555336606821
5.06666666666665,540.060786134091
5.08333333333332,535.597796027269
5.09999999999999,531.203513423191
5.11666666666665,526.912215867518
5.13333333333332,522.75501891593
5.14999999999999,518.759697597779
5.16666666666665,514.950619773743
5.18333333333332,511.348783779702
5.19999999999999,507.971947985189
5.21666666666665,504.834836384694
5.23333333333332,501.949402275542
5.24999999999999,499.325131453648
5.26666666666665,496.969367006155
5.28333333333332,494.887639409504
5.29999999999999,493.083987909587
5.31666666666665,491.561261727102
5.33333333333332,490.321392202201
5.34999999999999,489.36562934689
5.36666666666665,488.694738271588
5.38333333333332,488.309152531218
5.39999999999999,488.209084979357
5.41666666666665,488.394578476744
5.43333333333332,488.86554597091
5.44999999999999,489.621716530162
5.46666666666665,490.662570845807
5.48333333333332,491.987216820069
5.49999999999999,493.594223099188
5.51666666666665,495.481410269789
5.53333333333332,497.645603100655
5.54999999999999,500.082348918734
5.56666666666665,502.785609322647
5.58333333333332,505.747434874526
5.59999999999999,508.957635007397
5.61666666666665,512.403457896123
5.63333333333332,516.069297153786
5.64999999999999,519.936443585899
5.66666666666665,523.982900528662
5.68333333333332,528.183280254883
5.69999999999999,532.508796425884
5.71666666666665,536.927363653487
5.73333333333332,541.403810163213
5.74999999999998,545.900203744535
5.76666666666665,550.376285180311
5.78333333333332,554.789997741735
5.79999999999998,559.098096633914
5.81666666666665,563.256818858082
5.83333333333332,567.222591999583
5.84999999999998,570.952760050712
5.86666666666665,574.406304972764
5.88333333333332,577.544544890145
5.89999999999998,580.331791944066
5.91666666666665,582.735955845155
5.93333333333332,584.729081928884
5.94999999999998,586.287815158513
5.96666666666665,587.393783810932
5.98333333333332,588.033898465616
6,588.20056339656
