"Plot9"
"Time (sec)","Velocity1 (mm/sec)"
3.11666666666666,118.562654853514
3.13333333333333,135.110426980224
3.14999999999999,151.363566907919
3.16666666666666,167.220821600191
3.18333333333333,182.561208132626
3.19999999999999,197.24398695984
3.21666666666666,211.109565313525
3.23333333333333,223.981446517327
3.24999999999999,235.669289700048
3.26666666666666,245.973073927468
3.28333333333333,254.688276759576
3.29999999999999,261.61188865767
3.31666666666666,266.54900400878
3.33333333333333,269.319663713459
3.34999999999999,269.765596007317
3.36666666666666,267.756494398504
3.38333333333333,263.195511676363
3.39999999999999,256.023708908257
3.41666666666666,246.223281579554
3.43333333333333,233.8194749657
3.44999999999999,218.881187004181
3.46666666666666,201.520330017603
3.48333333333333,181.890076632086
3.49999999999999,160.182148231913
3.51666666666666,136.6233172368
3.53333333333333,111.471290959975
3.54999999999999,85.0101294049983
3.56666666666666,57.5453269978801
3.58333333333333,29.3986633808743
3.59999999999999,0.902904648614914
3.61666666666666,-27.6035835131281
3.63333333333333,-55.7822635902502
3.64999999999999,-83.2998552153311
3.66666666666666,-109.833725898278
3.68333333333333,-135.077196999714
3.69999999999999,-158.744704571312
3.71666666666666,-180.576735078678
3.73333333333332,-200.344432448357
3.74999999999999,-217.8537479835
3.76666666666666,-232.948982048132
3.78333333333332,-245.515550437629
3.79999999999999,-255.481803918321
3.81666666666666,-262.819741242558
3.83333333333332,-267.544487527445
3.84999999999999,-269.712462683861
3.86666666666666,-269.418236502089
3.88333333333332,-266.790152641479
3.89999999999999,-261.984893495293
3.91666666666666,-255.181244212888
3.93333333333332,-246.573367864047
3.94999999999999,-236.363961450994
3.96666666666666,-224.75763739897
3.98333333333332,-211.954864529134
3.99999999999999,-198.146730438696
4.01666666666666,-183.510709629815
4.03333333333332,-168.20753295432
4.04999999999999,-152.379169344225
4.06666666666666,-136.147859274163
4.08333333333332,-119.616086792794
4.09999999999999,-102.867345367894
4.11666666666666,-85.9675410578883
4.13333333333332,-68.9668811938214
4.14999999999999,-51.902113166172
4.16666666666666,-34.799001154748
4.18333333333332,-17.6749542568859
4.19999999999999,-0.541778294786675
4.21666666666666,16.5917318341637
4.23333333333332,33.7166625374769
4.24999999999999,50.8215408240281
4.26666666666666,67.8893952440814
4.28333333333332,84.8950689815114
4.29999999999999,101.802584481675
4.31666666666666,118.562654853509
4.33333333333332,135.11042698022
4.34999999999999,151.363566907914
4.36666666666666,167.220821600187
4.38333333333332,182.561208132621
4.39999999999999,197.243986959835
4.41666666666666,211.109565313521
4.43333333333332,223.981446517324
4.44999999999999,235.669289700044
4.46666666666666,245.973073927466
4.48333333333332,254.688276759574
4.49999999999999,261.611888475115
4.51666666666666,266.549004008779
4.53333333333332,269.319663713459
4.54999999999999,269.765596007317
4.56666666666666,267.756494398505
4.58333333333332,263.195511676364
4.59999999999999,256.023708908259
4.61666666666666,246.223281579557
4.63333333333332,233.819474965703
4.64999999999999,218.881187004184
4.66666666666666,201.520330017606
4.68333333333332,181.89007663209
4.69999999999999,160.182148231919
4.71666666666666,136.623317236805
4.73333333333332,111.47129095998
4.74999999999999,85.0101294050039
4.76666666666666,57.5453269978847
4.78333333333332,29.3986633808808
4.79999999999999,0.902904648620755
4.81666666666665,-27.6035835131234
4.83333333333332,-55.7822635902456
4.84999999999999,-83.2998552153266
4.86666666666665,-109.833725898273
4.88333333333332,-135.07719699971
4.89999999999999,-158.744704571309
4.91666666666665,-180.576735078674
4.93333333333332,-200.344432448355
4.94999999999999,-217.853747983499
4.96666666666665,-232.94898204813
4.98333333333332,-245.515550437627
4.99999999999999,-255.48180391832
5.01666666666665,-262.819741242556
5.03333333333332,-267.544487527445
5.04999999999999,-269.712462683861
5.06666666666665,-269.418236502089
5.08333333333332,-266.790152641479
5.09999999999999,-261.984894398613
5.11666666666665,-255.181244212889
5.13333333333332,-246.573367864048
5.14999999999999,-236.363961450995
5.16666666666665,-224.757637398971
5.18333333333332,-211.954864529135
5.19999999999999,-198.146730438697
5.21666666666665,-183.510709629816
5.23333333333332,-168.207532954321
5.24999999999999,-152.379169344227
5.26666666666665,-136.147859274165
5.28333333333332,-119.616086792795
5.29999999999999,-102.867345367895
5.31666666666665,-85.9675410578894
5.33333333333332,-68.9668811938229
5.34999999999999,-51.9021131661735
5.36666666666665,-34.7990011547495
5.38333333333332,-17.6749542568873
5.39999999999999,-0.541789946350823
5.41666666666665,16.5917318341622
5.43333333333332,33.7166625374754
5.44999999999999,50.8215408240267
5.46666666666665,67.88939524408
5.48333333333332,84.89506898151
5.49999999999999,101.802584481673
5.51666666666665,118.562654853507
5.53333333333332,135.110426980218
5.54999999999999,151.363566907913
5.56666666666665,167.220821600186
5.58333333333332,182.56120813262
5.59999999999999,197.243986959834
5.61666666666665,211.10956531352
5.63333333333332,223.981446517323
5.64999999999999,235.669289700043
5.66666666666665,245.973073927465
5.68333333333332,254.688276759573
5.69999999999999,261.611888514723
5.71666666666665,266.549004008779
5.73333333333332,269.319663713459
5.74999999999998,269.765596007317
5.76666666666665,267.756494398506
5.78333333333332,263.195511676364
5.79999999999998,256.02370890826
5.81666666666665,246.223281579558
5.83333333333332,233.819474965704
5.84999999999998,218.881187004186
5.86666666666665,201.520330017608
5.88333333333332,181.890076632092
5.89999999999998,160.18214823192
5.91666666666665,136.623317236807
5.93333333333332,111.471290959982
5.94999999999998,85.0101294050057
5.96666666666665,57.5453269978869
5.98333333333332,29.3986633808831
5.99999999999998,0.902904648623126
6.01666666666665,-27.6035835131216
6.03333333333332,-55.7822635902433
6.04999999999998,-83.2998552153242
6.06666666666665,-109.833725898272
6.08333333333332,-135.077196999708
6.09999999999998,-158.744704571307
6.11666666666665,-180.576735078671
6.13333333333332,-200.344432448353
6.14999999999998,-217.853747983497
6.16666666666665,-232.948982048128
6.18333333333332,-245.515550437626
6.19999999999998,-255.481803918319
6.21666666666665,-262.819741242556
6.23333333333332,-267.544487527444
6.24999999999998,-269.71246268386
6.26666666666665,-269.418236502089
6.28333333333332,-266.79015264148
6.29999999999998,-261.984892797995
6.31666666666665,-255.181244212889
6.33333333333332,-246.573367864048
6.34999999999998,-236.363961450996
6.36666666666665,-224.757637398972
